,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,WS2M,PRECTOTCORR
1/1/2015,5.3498,5.3537,25.22,39.63,2.27,2.42,0
1/2/2015,5.7677,5.7782,24.22,36.42,3.32,3.06,0
1/3/2015,5.3575,5.3906,23.63,32.44,9.74,4.06,0
1/4/2015,5.7641,5.7677,22.81,31.06,2.82,4.1,0
1/5/2015,4.673,4.6848,22.16,34.63,16.26,2.83,0
1/6/2015,3.8078,4.1083,21.74,35.95,32.33,2.44,0
1/7/2015,4.8617,4.9126,21.7,36.6,9.02,2.89,0
1/8/2015,4.9274,5.263,22.3,36.14,25.92,3.13,0
1/9/2015,5.0042,5.0136,22.39,31.18,1.5,4.43,0
1/10/2015,5.6237,5.6563,21.26,28.26,5.48,4.5,0
1/11/2015,5.2759,5.287,20.64,28.54,7.71,3.53,0
1/12/2015,5.5159,5.5248,20.49,30.96,6.57,3.27,0
1/13/2015,5.6462,5.6731,20.83,29.72,14.83,3.17,0
1/14/2015,5.6635,5.6988,22.08,34.76,18.18,2.75,0
1/15/2015,5.963,5.9878,23.14,32.97,6.89,2.63,0
1/16/2015,5.5877,5.6093,23.86,31.94,12.32,2.61,0
1/17/2015,5.5601,5.5798,23.45,35.09,13.69,1.98,0
1/18/2015,5.1276,5.1456,24.61,32.63,20.14,1.79,0
1/19/2015,5.0585,5.0849,25.57,37.48,28.53,1.36,0
1/20/2015,5.2361,5.2778,26.79,48.72,22.51,1.2,0.01
1/21/2015,5.3873,5.407,28.38,43.36,2.43,1.2,0
1/22/2015,5.5243,5.6263,27.38,37.12,9.5,2.24,0
1/23/2015,5.1415,5.5358,26.91,32.6,23.62,2.24,0
1/24/2015,5.5246,5.6167,26.99,34.3,14.2,1.83,0
1/25/2015,5.0167,5.5625,28.44,34.31,55.36,0.78,0
1/26/2015,4.5919,5.393,28.74,39.23,63.37,0.93,0
1/27/2015,5.6011,5.681,28.28,35.03,26.9,2,0
1/28/2015,5.213,5.4816,28.43,40.47,35.52,1.45,0
1/29/2015,5.4617,5.4991,27.71,38.8,10.31,2.29,0
1/30/2015,5.5054,5.5308,28.4,39.49,5.27,1.58,0
1/31/2015,5.3839,5.6395,28.33,41.95,37.34,1.68,0
2/1/2015,4.9447,5.4893,28.65,37.47,50.35,2.14,0
2/2/2015,5.7065,5.7893,29.52,34.37,22.85,2.13,0
2/3/2015,5.579,5.7454,30.13,38.09,50.91,0.97,0
2/4/2015,5.4655,5.7014,29.67,33.3,52.66,1.66,0
2/5/2015,5.5843,5.7487,30.31,41.1,23.51,1.02,0
2/6/2015,5.7929,5.8066,30.52,39.56,14.89,1.06,0
2/7/2015,5.5598,5.8428,29.35,52.28,55.64,0.98,0
